app_name,app_code,fd_nxt,fd_intbs1,fd_glibs1,fd_dgebs1,fd_prdwv,fd_prdco,fd_prdil,fd_prd_in,fd_prd_pa,fd_prdnj
admin,obadm,2,2,2,2,2,2,4,4,4,4
bet_auth,obbac,0,0,0,0,0,0,0,0,0,0
bet_voider,obbv,0,0,0,0,0,0,0,0,0,0
bulletin_fbr,obbulfbr,0,0,0,0,0,0,0,0,0,0
bulletin_fmg,obbulfmg,2,2,2,2,2,2,2,2,2,2
dbPublish,obpub,0,0,02,2,6,6,12,12,12,12
dw_forwarder,obdwf,2,2,2,2,2,2,2,2,2,2
dw_reporter,obdw,2,2,2,2,3,3,2,2,2,2
event_manager,obem,2,2,2,2,3,3,3,3,3,3
feed_bf_exchange,obfhex,2,2,2,2,3,3,3,3,3,3
feed_fmm,obfhfmm,2,9,2,2,8,8,8,8,8,8
feed_misc,obfhmsc,0,0,0,0,0,0,0,0,0,0
feed_ti,obfhti,2,3,2,2,3,3,3,3,3,3
gdprcs,obgcs,0,0,0,0,0,0,0,0,0,0
jms,objmsp,2,3,2,2,3,3,6,6,6,6
jms_it,objmspit,0,0,0,0,0,0,0,0,0,0
liability_engine,oble,2,2,2,2,3,3,2,2,2,2
liveserv,obls,2,2,2,2,3,3,3,3,3,3
office,oboff,2,2,2,2,3,3,3,3,3,3
offline_uploader_tdus,obou,0,0,0,0,0,0,0,0,0,0
oxi_bet,oboxibet,0,0,2,4,4,4,18,8,23,17
oxi_misc,oboximsc,2,2,2,3,3,3,3,3,4,3
oxi_rep,obrep,2,2,2,2,2,2,2,2,2,2
oxi_ro,oboxiro,0,4,2,2,4,4,8,4,11,8
oxi_secure,oboxisec,2,2,2,2,3,3,3,3,4,3
perfmon_release_scripts,obpm,0,0,0,0,0,0,0,0,0,0
rpt,obrpt,2,2,2,2,3,3,3,3,3,3
settlement_engine,obstl,2,3,2,2,3,3,3,3,3,3
ti2,obti,2,2,2,2,4,4,4,4,4,4
trackers,obtrk,2,2,2,2,3,3,3,3,3,3
xsys,obxsq,2,3,2,2,3,3,3,3,3,3
dbServer,ixs,2,2,2,2,2,2,2,2,2,2
